"a,an",indefinite article A1        ,Generated Sentence
vital,adj. B2         ,"句子：Vital information is gathered from various reliable sources, analyzed thoroughly, and disseminated efficiently to relevant stakeholders, facilitating informed decision-making and strategic planning."
vitamin,n. B2         ,
voice,n. A2         ,
volume,n. B2         ,
volunteer,"n., v. B1        ","句子：Many people volunteer their time and skills to help those in need, fostering a sense of community and goodwill."
vote,"n., v. B1        ",
wage,n. B2         ,"句子：He decided to wage a relentless campaign against injustice, rallying support from all corners of society."
wait,"v. A1, n. A2       ",
waiter,n. A1         ,"句子：The experienced waiter efficiently served each dish with precision and grace, ensuring a delightful dining experience for the guests."
wake,v. A1         ,"句子：The gentle breeze woke me up from my deep slumber, gently nudging me into the realm of consciousness."
walk,"v., n. A1        ",句子：The leisurely walk along the beach brought a sense of calm and tranquility to her mind.
wall,n. A1         ,
want,v. A1         ,
war,n. A2         ,
warm,"adj. A1, v. B1       ","句子：The warm sunlight bathed the garden, enveloping everything in a comforting embrace."
warn,v. B1         ,句子：She warned her friend about the potential dangers of hiking alone in the wilderness.
warning,n. B1         ,"句子：The warning sign was prominently displayed at the entrance, alerting visitors to potential hazards in the area."
wash,"v. A1, n. A2       ",
washing,n. A2         ,"句子：Washing the car thoroughly removes dirt and grime, leaving it sparkling clean and shiny."
waste,"n., v., adj. B1       ",
watch,"v., n. A1        ","句子：She diligently watches over the sleeping baby, ensuring his safety throughout the night."
water,"n. A1, v. B1       ",
wave,"n. A2, v. B1       ",
way,"n. A1, adv. B2       ",
we,pron. A1         ,"句子：We strive to maintain a harmonious balance between work and leisure, fostering a conducive environment for both productivity and relaxation."
weak,adj. A2         ,"句子：Despite his weak attempt at persuading the committee, they remained unconvinced by his argument."
weakness,n. B2         ,"句子：Despite his weakness in public speaking, he excelled in writing and research, contributing significantly to the academic community."
wealth,n. B2         ,
wealthy,adj. B2         ,"句子：The wealthy businessman generously donated a substantial sum to the local charity, greatly impacting the community."
weapon,n. B1         ,"句子：The soldiers carefully aimed their weapon at the distant target, ready to fire upon command."
wear,v. A1         ,句子：She wear her favorite dress to the party last night.
weather,n. A1         ,
web,n. A2         ,
website,n. A1         ,
wedding,n. A2         ,"句子：The wedding ceremony was a beautiful celebration of love and commitment, attended by family and friends from near and far."
Wednesday,n. A1         ,"句子：On Wednesday, we will gather for the monthly team meeting to discuss the progress of our projects and plan upcoming tasks."
week,n. A1         ,"句子：Last week, my friends and I enjoyed a relaxing vacation at the beach, soaking up the sun and swimming in the crystal-clear waters."
weekend,n. A1         ,
weigh,v. B1         ,"句子：The chef carefully weighs each ingredient before adding it to the recipe, ensuring perfect balance and flavor."
weight,n. A2         ,
welcome,"exclam., v., adj. A1, n. A2     ",句子：The warm welcome from the host family made the new guests feel instantly at ease and appreciated.
well,"adv., adj., exclam. A1       ",
west,"n., adj., adv. A1       ",
western,adj. B1         ,
wet,adj. A2         ,"句子：After the heavy rain, the wet ground made it challenging to navigate through the muddy terrain."
what,pron./det. A1         ,"句子：What you perceive as reality is often shaped by your beliefs, experiences, and perceptions, influencing your understanding of the world around you."
whatever,det./pron. B1         ,"句子：Whatever happens, she always remains calm and composed, gracefully navigating through life's challenges with unwavering determination and resilience."
wheel,n. A2         ,
when,"adv., pron., conj. A1       ","句子：When carefully managed and effectively communicated, challenges can transform into opportunities for growth and innovation."
whenever,conj. B1         ,
where,"adv., conj. A1        ","句子：Where dreams intersect with reality, aspirations take flight and possibilities become limitless."
whereas,conj. B2         ,
wherever,conj. B2         ,
whether,conj. B1         ,
which,pron./det. A1         ,"句子：The new equipment, which underwent rigorous testing, greatly improved the accuracy of our measurements."
while,"conj. A2, n. B1       ","句子：While studying for her exams, Sarah listened to classical music to help her concentrate and stay focused."
whisper,"v., n. B2        ",句子：The soft whisper of the wind through the trees carried a sense of tranquility and calmness to the peaceful forest.
white,"adj., n. A1        ",
who,pron. A1         ,句子：The person who discovered the new species of butterfly was a dedicated entomologist with a passion for exploring biodiversity.
whole,"adj. A2, n. B1       ",
whom,pron. B2         ,"句子：The artist, whom critics praised for his innovative style and profound depth, continues to inspire generations with his timeless creations."
whose,det./pron. A2         ,
why,adv. A1         ,
wide,adj. A2         ,
widely,adv. B2         ,"句子：Widely recognized for its impact, the new technology has revolutionized the way we communicate and connect with others globally."
